id	title	name	birthyear	deathyear	choronym
ITKC_MI_0106A	묵재집(默齋集)	홍언필(洪彥弼)	1476년(성종 7)	1549년(명종 4)	남양(南陽)
ITKC_MI_0107A	충재집(冲齋集)	권벌(權橃)	1478년(성종 9)	1548년(명종 3)	안동(安東)
ITKC_MI_0108A	모재집(慕齋集)	김안국(金安國)	1478년(성종 9)	1543년(중종 38)	의성(義城)
ITKC_MI_0109A	용재집(容齋集)	이행(李荇)	1478년(성종 9)	1534년(중종 29)	덕수(德水)
ITKC_MI_0110A	읍취헌유고(挹翠軒遺稿)	박은(朴誾)	1479년(성종 10)	1504년(연산군 10)	고령(高靈)
ITKC_MI_0111A	음애집(陰崖集)	이자(李耔)	1480년(성종 11)	1533년(중종 28)	한산(韓山)
ITKC_MI_0112A	학포집(學圃集)	양팽손(梁彭孫)	1488년(성종 19)	1545년(인종 1)	제주(濟州)
ITKC_MI_0113A	희락당고(希樂堂稿)	김안로(金安老)	1481년(성종 12)	1537년(중종 32)	연안(延安)
ITKC_MI_0114A	정암집(靜菴集)	조광조(趙光祖)	1482년(성종 13)	1519년(중종 14)	한양(漢陽)
ITKC_MI_0115A	월연집(月淵集)	이태(李迨)	1483년(성종 14)	1536년(중종 31)	여주(驪州)
ITKC_MI_0116A	기재집(企齋集)	신광한(申光漢)	1484년(성종 15)	1555년(명종 10)	고령(高靈)
ITKC_MI_0117A	사재집(思齋集)	김정국(金正國)	1485년(성종 16)	1541년(중종 36)	의성(義城)
ITKC_MI_0118A	충암집(冲庵集)	김정(金淨)	1486년(성종 17)	1521년(중종 16)	경주(慶州)
ITKC_MI_0119A	양곡집(陽谷集)	소세양(蘇世讓)	1486년(성종 17)	1562년(명종 17)	진주(晉州)
ITKC_MI_0120A	송재집(松齋集)	한충(韓忠)	1486년(성종 17)	1521년(중종 16)	청주(淸州)
ITKC_MI_0121A	규암집(圭菴集)	송인수(宋麟壽)	1499년(연산군 5)	1547년(명종 2)	은진(恩津)
ITKC_MI_0122A	어촌집(漁村集)	심언광(沈彥光)	1487년(성종 18)	1540년(중종 35)	삼척(三陟)
ITKC_MI_0123A	자암집(自菴集)	김구(金絿)	1488년(성종 19)	1534년(중종 29)	광주(光州)
ITKC_MI_0124A	화담집(花潭集)	서경덕(徐敬德)	1489년(성종 20)	1546년(명종 1)	당성(唐城)
ITKC_MI_0125A	회재집(晦齋集)	이언적(李彥迪)	1491년(성종 22)	1553년(명종 8)	여주(驪州)
ITKC_MI_0126A	호음잡고(湖陰雜稿)	정사용(鄭士龍)	1491년(성종 22)	1570년(선조 3)	동래(東萊)
ITKC_MI_0127A	덕양유고(德陽遺稿)	기준(奇遵)	1492년(성종 23)	1521년(중종 16)	행주(幸州)
ITKC_MI_0128A	양심당집(養心堂集)	조성(趙晟)	1492년(성종 23)	1555년(명종 10)	평양(平壤)
ITKC_MI_0129A	입암집(立巖集)	민제인(閔齊仁)	1493년(성종 24)	1549년(명종 4)	여흥(驪興)
ITKC_MI_0130A	범허정집(泛虛亭集)	상진(尙震)	1493년(성종 24)	1564년(명종 19)	목천(木川)
ITKC_MI_0131A	청송집(聽松集)	성수침(成守琛)	1493년(성종 24)	1564년(명종 19)	창녕(昌寧)
ITKC_MI_0132A	면앙집(俛仰集)	송순(宋純)	1493년(성종 24)	1582년(선조 15)	신평(新平)
ITKC_MI_0133A	잠암일고(潛庵逸稿)	김의정(金義貞)	1495년(연산군 1)	1547년(명종 2)	풍산(豐山)
ITKC_MI_0134A	무릉잡고(武陵雜稿)	주세붕(周世鵬)	1495년(연산군 1)	1554년(명종 9)	상주(尙州)
ITKC_MI_0135A	온계일고(溫溪逸稿)	이해(李瀣)	1496년(연산군 2)	1550년(명종 5)	진보(眞寶)
ITKC_MI_0136A	석천시집(石川詩集)	임억령(林億齡)	1496년(연산군 2)	1568년(선조 1)	선산(善山)
ITKC_MI_0137A	대곡집(大谷集)	성운(成運)	1497년(연산군 3)	1579년(선조 12)	창녕(昌寧)
ITKC_MI_0138A	송재유고(松齋遺稿)	나세찬(羅世纘)	1498년(연산군 4)	1551년(명종 6)	나주(羅州)
ITKC_MI_0139A	장음정유고(長吟亭遺稿)	나식(羅湜)	1498년(연산군 4)	1546년(명종 1)	안정(安定)
ITKC_MI_0140A	용문집(龍門集)	조욱(趙昱)	1498년(연산군 4)	1557년(명종 12)	평양(平壤)
ITKC_MI_0141A	동고유고(東皐遺稿)	이준경(李浚慶)	1499년(연산군 5)	1572년(선조 5)	광주(廣州)
ITKC_MI_0142A	일재집(一齋集)	이항(李恒)	1499년(연산군 5)	1576년(선조 9)	성주(星州)
