source	target	relationship
pm000386	pm000397	HAS_SON_MGB
pm000386w	pm000386	HAS_SIL_MGB
pm000391	pm000400	HAS_SON_MGB
pm000392	pm000401	HAS_SON_MGB
pm000392	pm000414	HAS_SON_MGB
pm000392	pm000415	HAS_SON_MGB
pm000392	pm000416	HAS_SON_MGB
pm000396w	pm000396	HAS_SIL_MGB
pm000397	pm000404	HAS_SON_MGB
pm000400	pm000405	HAS_SON_MGB
pm000401	pm000406	HAS_SON_MGB
pm000405	pm000407	HAS_SON_MGB
pm000405w	pm000405	HAS_SIL_MGB
pm000406	pm000409	HAS_SON_MGB
pm000406	pm000427	HAS_SON_MGB
pm000406	pm000428	HAS_SON_MGB
pm000407w	pm000407	HAS_SIL_MGB
pm000410	pm000411	HAS_SON_MGB
pm000410w1	pm000410	HAS_SIL_MGB
pm000410w2	pm000410	HAS_SIL_MGB
pm000411	pm000413	HAS_SON_MGB
pm000411w	pm000411	HAS_SIL_MGB
pm000412w	pm000412	HAS_SIL_MGB
pm000413	pm000421	HAS_SON_MGB
pm000413	pm000443	HAS_SON_MGB
pm000413	pm000444	HAS_SON_MGB
pm000413w	pm000413	HAS_SIL_MGB
pm000414	pm000423	HAS_SON_MGB
pm000421	pm000425	HAS_SON_MGB
pm000421w	pm000421	HAS_SIL_MGB
pm000423	pm000429	HAS_SON_MGB
pm000428	pm000430	HAS_SON_MGB
pm000428w	pm000428	HAS_SIL_MGB
pm000429	pm000431	HAS_SON_MGB
pm000430	pm000432	HAS_SON_MGB
pm000431	pm000434	HAS_SON_MGB
pm000434	pm000437	HAS_SON_MGB
pm000439	pm000474	HAS_SIL_MGB
pm000439	pm000440	HAS_SON_MGB
pm000439	pm000441	HAS_SON_MGB
pm000439	pm000475	HAS_SON_MGB
pm000439w	pm000439	HAS_SIL_MGB
pm000440w	pm000440	HAS_SIL_MGB
pm000441	pm000442	HAS_SON_MGB
pm000441	pm000454	HAS_SON_MGB
pm000441w	pm000441	HAS_SIL_MGB
pm000442	pm000445	HAS_SON_MGB
pm000442	pm000455	HAS_SON_MGB
pm000442	pm000456	HAS_SON_MGB
pm000442w	pm000442	HAS_SIL_MGB
pm000443	pm000446	HAS_SON_MGB
pm000444	pm000448	HAS_SON_MGB
pm000444	pm000449	HAS_SON_MGB
pm000444	pm000450	HAS_SON_MGB
pm000445	pm000451	HAS_SON_MGB
pm000445	pm000452	HAS_SON_MGB
pm000445	pm000453	HAS_SON_MGB
