source	target	relationship
pm073050	pm073055	HAS_SON_MGB
pm032926	pm032928	HAS_SON_MGB
pm032924	pm032926	HAS_SON_MGB
pm032923	pm032924	HAS_SIL_MGB
pm087179	pm087181	HAS_SON_MGB
pm087177	pm087179	HAS_SON_MGB
pm087175	pm087177	HAS_SON_MGB
pm067557w	pm067557	HAS_SIL_MGB
pm037329	pm037333	HAS_SON_MGB
pm037272	pm037329	HAS_SON_MGB
pm037265	pm037272	HAS_SON_MGB
pm037329	pm037334	HAS_SON_MGB
pm037272	pm037329	HAS_SON_MGB
pm037265	pm037272	HAS_SON_MGB
pm047510	pm047516	HAS_SON_MGB
pm047506	pm047510	HAS_SIL_MGB
pm047502	pm047506	HAS_SON_MGB
pm082404	pm082408	HAS_SON_MGB
pm082402	pm082404	HAS_SON_MGB
pm082399	pm082402	HAS_SON_MGB
pm082404	pm082461	HAS_SON_MGB
pm082402	pm082404	HAS_SON_MGB
pm082399	pm082402	HAS_SON_MGB
pm082404	pm082463	HAS_SON_MGB
pm082402	pm082404	HAS_SON_MGB
pm082399	pm082402	HAS_SON_MGB
pm085182	pm085185	HAS_SON_MGB
pm085179	pm085182	HAS_SON_MGB
pm085174	pm085179	HAS_SON_MGB
pm086916	pm086919	HAS_SON_MGB
pm086914	pm086916	HAS_SON_MGB
pm086916	pm086920	HAS_SON_MGB
pm086914	pm086916	HAS_SON_MGB
pm015763	pm015767	HAS_SON_MGB
pm015758	pm015763	HAS_SON_MGB
pm015754	pm015758	HAS_SON_MGB
pm016601	pm016603	HAS_SON_MGB
pm016594	pm016601	HAS_SON_MGB
pm016589	pm016594	HAS_SON_MGB
pm033860	pm033862	HAS_SON_MGB
pm033858	pm033860	HAS_SON_MGB
pm033856	pm033858	HAS_SON_MGB
pm028291	pm028294	HAS_SON_MGB
pm028282	pm028291	HAS_SON_MGB
pm028240	pm028282	HAS_SON_MGB
pm028291	pm028295	HAS_SON_MGB
pm028282	pm028291	HAS_SON_MGB
pm028240	pm028282	HAS_SON_MGB
pm028291	pm028296	HAS_SON_MGB
pm028282	pm028291	HAS_SON_MGB
pm028240	pm028282	HAS_SON_MGB
pm028291	pm028297	HAS_SON_MGB
pm028282	pm028291	HAS_SON_MGB
pm028240	pm028282	HAS_SON_MGB
pm028291	pm028298	HAS_SON_MGB
pm028282	pm028291	HAS_SON_MGB
pm028240	pm028282	HAS_SON_MGB
pm069798	pm069802	HAS_SON_MGB
pm069792	pm069798	HAS_SON_MGB
